amount,transaction_velocity,device_risk,location_mismatch,is_fraud
7370,8,0.27734676172462924,0,1
960,13,0.5002314789258019,1,0
5490,3,0.160603146429649,1,0
5291,5,0.3406854235748016,0,0
5834,9,0.3239792747100996,0,0
6365,6,0.5871328015842009,0,0
566,2,0.06668230036302458,0,0
4526,13,0.8296686802650951,1,1
5678,5,0.5623783803844021,1,0
8422,8,0.6708266807759353,1,1
1785,1,0.7030939037594328,1,0
869,12,0.2914841368425365,1,0
7049,11,0.4703715673848665,1,1
2533,7,0.9562459558696672,1,1
5411,15,0.7667052379968149,0,0
5151,11,0.9695568752231853,1,1
6520,16,0.7462543451462883,0,1
1284,3,0.1756001397085174,0,0
4655,14,0.06453588384467623,0,0
3485,3,0.5776614367196636,1,0
6496,1,0.35781327970260957,1,0
8766,15,0.2754579101381702,1,1
9374,1,0.8072109964254175,1,1
2658,17,0.36699326708194735,0,1
7949,2,0.3170009697343039,1,1
2147,6,0.8499875931690104,0,1
2847,8,0.8462873364864602,1,1
9267,16,0.3563666377550566,1,1
289,19,0.8324987009859662,0,1
2834,1,0.8507784903326605,0,1
3105,3,0.42393053502966627,0,0
4758,3,0.06647313020917156,1,0
1999,5,0.0015846444663401016,1,0
7834,12,0.523292462888995,0,1
1367,12,0.3440754933703557,1,0
1628,13,0.997131894158366,0,1
3656,9,0.7724109996272842,1,0
3990,7,0.7612754563504125,0,0
8938,4,0.9552427682873437,0,1
5493,19,0.8877243978933208,1,1
8892,19,0.3181874794563887,0,1
8533,6,0.16598722160387636,1,1
7613,13,0.7458922650654822,1,1
2712,11,0.378273893682873,0,0
7141,13,0.47317265163095645,0,1
9655,13,0.6303977312748269,1,1
6335,15,0.9078726769352407,1,1
5586,13,0.41908775367096596,0,0
7199,11,0.7833168902193614,0,1
9770,19,0.26833979127465746,0,1
875,8,0.6979717909236136,1,0
8326,8,0.001579421077911869,1,1
3252,10,0.8715072134906348,1,1
1685,16,0.0303795799544625,0,1
4043,19,0.7127537547625842,0,1
7655,11,0.04625818926128389,1,1
3173,13,0.26624569939400344,1,0
1121,9,0.4972024035565531,0,0
3943,19,0.4199386853482382,1,1
8089,16,0.19183611460101058,0,1
9792,7,0.3338149117092374,0,1
6973,19,0.7277063700609671,0,1
5775,12,0.6692570925796483,1,0
261,15,0.0718145837639157,1,0
4397,14,0.7473158255728863,0,0
1095,11,0.053045881197028355,0,0
7729,10,0.5429263890997844,1,1
9567,11,0.26006274804219065,0,1
1116,6,0.5876901275598189,1,0
7969,2,0.26132839594090185,1,1
6539,11,0.984957969625831,1,1
7992,19,0.30972818372753186,0,1
6963,6,0.241960635674496,0,0
8016,14,0.278465290915346,0,1
8629,6,0.8964728572592954,0,1
978,17,0.6362188286693448,1,1
9368,10,0.7306840974207764,0,1
4987,1,0.9180105100943504,1,1
4959,3,0.9118724848450075,0,1
6431,8,0.7389458465787275,0,0
8671,8,0.1978244288413229,0,1
8784,15,0.8433733206750055,0,1
7308,7,0.20377603419106372,0,1
5376,11,0.742898814098432,1,0
2162,7,0.6856030665448744,0,0
164,4,0.7588888501404466,0,0
8106,12,0.5326856807138157,0,1
2668,6,0.6387261822492196,0,0
5563,14,0.9533200804342553,0,1
2127,12,0.1010885941742149,1,0
2795,11,0.30884727478162,0,0
9787,19,0.6113570130983824,1,1
5358,5,0.9640541301314893,0,1
5718,14,0.09557444766260115,1,0
6836,16,0.022549221530086427,0,1
491,13,0.05574959847032801,0,0
5992,4,0.05240568646119881,1,0
3661,11,0.9078158577774044,0,1
6284,17,0.7212579079338247,1,1
3199,7,0.6771063661962783,0,0
6378,14,0.5225728202618095,1,0
8492,11,0.7819526169721519,1,1
3204,9,0.1556479927615908,1,0
7315,13,0.3919411897884374,0,1
2554,18,0.4900042507643435,1,1
9096,11,0.11040949767672625,0,1
2831,15,0.41951370933751697,1,0
8254,19,0.31650177926262035,1,1
9862,1,0.03558214579346264,1,1
5156,4,0.13673540272923523,0,0
8210,14,0.7640368231674718,0,1
3940,14,0.018037909504644456,0,0
1128,3,0.9342532990963611,1,1
7485,17,0.08642463244723742,0,1
602,3,0.7992380942034581,0,0
7010,16,0.8986165409434708,1,1
9162,14,0.9411355848504471,1,1
7038,13,0.8674770234959726,0,1
4588,15,0.2875500394254432,0,0
306,14,0.333087131338477,0,0
5234,19,0.42654569861007596,1,1
6077,6,0.13929668940710083,1,0
7821,10,0.022272455067223862,1,1
7135,15,0.8691216142810346,1,1
1584,6,0.5541287162104563,1,0
7958,10,0.6087229421782163,0,1
963,7,0.9269884748177953,0,1
2890,17,0.6651201781136157,0,1
7508,18,0.6908535043398134,1,1
8855,17,0.7869686484367422,1,1
5216,9,0.11634844985740378,0,0
6119,10,0.3601621532137915,0,0
1857,10,0.9682079277033663,0,1
7674,7,0.9229300781006066,1,1
6474,16,0.8840752963101848,1,1
6992,18,0.45208851033897246,1,1
1778,6,0.8571929535868057,1,1
3342,1,0.048395881945765606,1,0
4736,1,0.14851742425711745,0,0
1159,12,0.4139676984840541,0,0
6768,2,0.4833920666821264,1,0
3257,4,0.26350715352085685,1,0
6015,17,0.35647667084778745,0,1
9889,4,0.16277610102536877,1,1
2793,11,0.4891340317159072,1,0
3727,4,0.7938432928678613,0,0
9655,1,0.6613603936613057,1,1
5550,7,0.10779224736554127,1,0
1763,18,0.4875816033967161,0,1
9821,9,0.6976463827797249,1,1
5692,3,0.5298952965539412,1,0
7492,8,0.39167559653554895,0,1
1406,19,0.6219144212838782,0,1
6876,4,0.9686386653002755,1,1
